	attr	count
0	5 end dependence	25
1	5 year efs	31
2	5 year os	31
3	5' adapter barcode	12
4	5' adapter with index base followed by an asterisk	29
5	5' adaptor	29
6	5' barcode	73
7	5' barcode sequence	12
8	5' end dependence	25
9	53, biological repl	5
10	53d, biological repl	14
11	5b, biological repl	5
12	5fu drug response	375
13	5hmc levels	54
14	5q	345
15	5q loh	91
16	6 month weight change	27
17	6 month weight kg	330
18	6 whole body control fish from each of 3 replicate beakers a, b, c age	16
19	6mp drug response	375
20	6th tnm stage	148
21	6xhis immunoprecipitation	11
22	7 day cetuximab cell survival rate	10
23	7q	345
24	7q32 deletion	11
25	7th ed tnm classification	47
26	7th pstage	108
27	7th tnm stage	251
28	8 week disease control 1 yes, 0 no	41
29	8 week disease control 1yes 0no	8
30	8 weeks, biological repl	14
31	8mers tested	5
32	8p status	13
33	8q23 genotype rs16892766	81
34	8q24 genotype rs10505477	81
35	8q24 genotype rs6983267	81
36	8q24 genotype rs7014346	81
37	8wk treatment	11
38	9 bp spacer and 10 bp barcode	58
39	93 1334	2
40	96 264	2
41	96 3	2
42	96 353	2
43	96 470	2
44	96 475	2
45	97 1026	2
46	97 1027	2
47	97 403	2
48	97 587	2
49	97 608	2
50	97 646	2
51	97 666	2
52	97 792	2
53	97 829	2
54	97 930	2
55	97 949	2
56	98 1014	2
57	98 1063	2
58	98 1146	2
59	98 1216	2
60	98 1277	2
61	98 1293	2
62	98 1296	2
63	98 152	2
64	98 180	2
65	98 186	2
66	98 197	2
67	98 292	2
68	98 320	2
69	98 343	2
70	98 375	2
71	98 39	2
72	98 401	2
73	98 417	2
74	98 438	2
75	98 506	2
76	98 543	2
77	98 610	2
78	98 645	2
79	98 657	2
80	98 679	2
81	98 683	2
82	98 691	2
83	98 711	2
84	98 723	2
85	98 771	2
86	98 821	2
87	98 828	2
88	98 853	2
89	98 933	2
90	98 956	2
91	98 967	2
92	98 985	2
93	99 1017	2
94	99 1033	2
95	99 1067	2
96	99 137	2
97	99 301	2
98	99 440	2
99	99 55	2
100	99 625	2
101	99 671	2
102	99 692	2
103	99 706	2
104	99 728	2
105	99 77	2
106	99 830	2
107	99 927	2
108	9d, biological repl	11
109	9q24 genotype rs10975552	81
110	a	4
111	a/j mouse strain jackson lab gender male, age 28 days, n 19, of tissue 38 tissue	3
112	a/j mouse strain jackson lab gender male, age 28 days, n 20, of tissue 40 tissue	3
113	a/j mouse strain jackson lab gender male, age 28 days, n 21, of tissue 42 tissue	3
114	a/t array	73
115	a 427 cell line atcc nr	3
116	a dsd	149
117	a efs all	500
118	a mutant defective in an upstream transcription factor required for chilling and freezing tolerance as described in chinnusamy, v, ohta, m, kanrar, s, lee, b h, hong, x h, agarwal, m, and zhu, j k 200	10
119	a pool of the 4,831 viable haploid deletion strains was created from individual collections kept in glycerol stock and divided into 1 ml aliquots stored at 80 degrees c a single aliquot of pooled dele	11
120	a thaliana genotype	7
